Name	Notes	FullAddress	City	Province	PostalCode
Écoparc de la MRC de L'Assomption		134 ch. des Commissaires	L'Assomption	Quebec	J5W 3P3
LET de Saint-Alphonse		222  5e Rang Est	Saint-Alphonse	Quebec	G0C 2V0
Écocentre de La Vallée-de-la-Gatineau		161 rue du Parc Industriel	Maniwaki	Quebec	J9E 3P3
Écocentre de la Rivière-Rouge	Ouvert du lundi au vendredi 8 h 30 à 17 h	688 ch. du Parc Industriel	Rivière-Rouge	Quebec	J0T 1T0
Écocentre de Saint-Siméon		368 rue Bergeron	Saint-Siméon	Quebec	G0T 1X0
Écocentre de Clermont		119 ch. Snigole	Clermont	Quebec	G4A 1B1
Écocentre de La Malbaie		1200 boul. Kane	La Malbaie	Quebec	G5A 1W8
Écocentre de Sainte-Agathe-des-Monts		1710 rue Principale Est	Sainte-Agathe-des-Monts	Quebec	J8C 1M2
Écocentre de matériaux secs de Tremblant		60 ch. Bréboeuf	Mont-Tremblant	Quebec	J8E 3A9
Écocentre RIDL		1064 rue industrielle	Mont-Laurier	Quebec	J9L 3V6
Écocentre régional de Portneuf-sur-Mer		rte 138 (24 km à l?est de la rivière Portneuf)	Portneuf-sur-Mer	Quebec	G0T 1P0
Centre de valorisation des matières résiduelles		15 boul. Industriel	La Sarre	Quebec	J9Z 2X2
RIGMRBM (Régie intermunicipale de gestion des matières résiduelles de Brome-Missisquoi)		2500 rang Saint-Joseph	Brigham	Quebec	J2K 3G6
Écocentre Blanc-Sablon	Commune Lourdes-de-Blanc-Sablon	1149 boul. Dr. Camille Marcoux	Blanc-Sablon	Quebec	G0G 1W0
Ressource de Réinsertion le Phare		99 boul. du Portage des Mousses	Port-Cartier	Quebec	G5B 1C9
Écocentre Saint-Just-de-Bretenières		 rang Sainte-Anne	Saint-Just-de-Bretenières	Quebec	G0H 3H0
Écocentre Saint-François-de-la-Rivière-du-Sud		35 ch. Saint-François Est	Saint-François-de-la-Rivière-du-Sud	Quebec	G0R 3A0
Garage municipal Saint-Pierre-de-la-Rivière-du-Sud		450 rue Principale	Saint-Pierre-de-la-Rivière-du-Sud	Quebec	G0R 4B0
Écocentre Notre-Dame-du-Rosaire		28 rue Saint-Thomas	Notre-Dame-du-Rosaire	Quebec	G0R 2H0
Bureau municipal Sainte-Euphémie-sur-Rivière-du-Sud		220 rue Principale Est	Sainte-Euphémie-sur-Rivière-du-Sud	Quebec	G0R 2Z0
Écocentre Sainte-Apolline-de-Patton		499 rue Principale	Sainte-Apolline-de-Patton	Quebec	G0R 2P0
Écocentre Cap-Saint-Ignace		850 du Souvenir	Cap-Saint-Ignace	Quebec	G0R 1H0
Écocentre Sainte-Lucie-de-Beauregard		Garage municipal rue de l'Église	Sainte-Lucie-de-Beauregard	Quebec	G0R 3L0
Écocentre Saint-Fabien-de-Panet		73 rte 283	Saint-Fabien-de-Panet	Quebec	G0R 2J0
Écocentre Saint-Paul-de-Montminy		294 rte 216	Saint-Paul-de-Montminy	Quebec	G0R 3Y0
Écocentre Lac-Frontière	En arrière du bureau municipal	22 rue de l'Église	Lac-Frontière	Quebec	G0R 1T0
ORAPÉ		1570 rue Rousseau	Plessisville	Quebec	G6L 2V1
Écocentre Saint-Eustache		695 25e Avenue	Saint-Eustache	Quebec	J7P 0B4
Écocentre satellite de Godbout		122 rue Saint-Régis	Godbout	Quebec	G0H 1G0
Écocentre Berthier-sur-Mer		14 rte de Saint-François	Berthier-sur-Mer	Quebec	G0R 1E0
Garage municipal de Grande-Vallée		21 rue Minville	Grande-Vallée	Quebec	G0E 1K0
Déchetterie de Cloridorme		24 rte de la Colonie	Cloridorme	Quebec	G0E 1G0
Écocentre Robertsonville		3626 boul. Frontenac Est	Thetford Mines	Quebec	G6G 4G2
Garage municipal de Murdochville		389 av. Miller	Murdochville	Quebec	G0E 1W0
LET de Gaspé		1050 montée de Wakeham	Gaspé	Quebec	G4X 2A5
Déchetterie de Percé		50 ch. Lemieux	Percé	Quebec	G0C 3G0
Écocentre Val-des-Monts		28 ch. de la Pûche	Val-des-Monts	Quebec	J8N 4A6
Écocentre de  Duhamel	2017 : ouvert du 6 mai au 28 octobre	3605 ch. du Lac Gagnon Est	Duhamel	Quebec	J0V 1G0
Déchetterie de Gascon		232 rte Morin Nord	Port-Daniel--Gascons	Quebec	G0C 1P0
Déchetterie de Grande-Rivière		785 rue Saint-Pierre	Grande-Rivière	Quebec	G0C 1V0
Garage municipal de Saint-Cyprien		121 rang Cyr	Saint-Cyprien-de-Napierville	Quebec	J0J 1L0
Conciergerie Kaminunakutat		1 rue du centre	Essipit	Quebec	G0T 1K0
Garage municipal Kingsey Falls		57 boul. Kingsey	Kingsey Falls	Quebec	J0A 1B0
Écocentre d'Asbestos		404 rue du Roi	Asbestos	Quebec	J1T 4T1
Écocentre des Rivières		1700 rue Provinciale	Québec	Quebec	G1N 4A2
Écocentre Aston-Jonction		1310 rue Principale	Aston-Jonction	Quebec	G0Z 1A0
Écocentre Baie-du-Fèbvre		298 rue Marie-Victorin	Baie-du-Febvre	Quebec	J0G 1A0
Bureau municipal de Manseau		200 rue Roux	Manseau	Quebec	G0X 1V0
Bureau municipal Sainte-Cécile-de-Lévrard		235 rue Principale	Sainte-Cécile-de-Lévrard	Quebec	G0X 2M0
Écocentre Sainte-Eulalie		759 rue des Bouleaux	Sainte-Eulalie	Quebec	G0Z 1G0
Best Buy; Chicoutimi		1401 boul. Talbot	Saguenay	Quebec	G7H 4C1
Best Buy; Montréal Centreville		470 rue Sainte-Catherine Ouest	Montréal	Quebec	H3B 1A7
Best Buy; Galeries d'Anjou		7400 boul. des Roseraies	Montréal	Quebec	H1M 3X8
Best Buy; Centre Laval		1560 boul. Le Corbusier	Laval	Quebec	H7S 1Y8
Best Buy; Dix30		8480 boul. Leduc bureau 100	Brossard	Quebec	J4Y 0K7
Best Buy; Fairview Pointe-Claire		6815 aut. Transcanadienne bureau Y009	Pointe-Claire	Quebec	H9R 1C4
Best Buy; Saint-Bruno		1235 boul. des Promenades	Saint-Bruno-de-Montarville	Quebec	J3V 6H1
