	Name	Notes	FullAddress	City	Province	PostalCode	lat	long
95	Écocentre St-Flavien		1450 rang Pointe-du-Jour	Saint-Flavien	Quebec	G0S 2M0	 None	 None
96	Écocentre Isle-aux-Coudres		51 ch. de la Traverse	L'Isle-aux-Coudres	Quebec	G0A 3J0	46.562884	-71.548323
97	Écocentre Saint-Sauveur		2135 ch. Jean-Adam (rte 364)	Saint-Sauveur	Quebec	J0R 1R2	 None	 None
98	Écocentre Baie-St-Paul		74 rang Saint-Placide Sud	Baie-Saint-Paul	Quebec	G3Z 3A9	45.8945364	-74.1997295
99	Écocentre St-Urbain		7 rue du Parc Industriel	Saint-Urbain	Quebec	G0A 4K0	47.3928751	-70.6504376
100	Compo-Haut-Richelieu; Lacolle		8 rue du Parc-Industriel	Lacolle	Quebec	J0J 1J0	47.5329663	-70.5258432
101	Compo-Haut-Richelieu; Iberville (Citoyen)		825 rue Lucien-Beaudin	Saint-Jean-sur-Richelieu	Quebec	J2X 5L2	45.0735402	-73.3683124
102	Compo-Haut-Richelieu; St-Luc		950 rue Gaudette	Saint-Jean-sur-Richelieu	Quebec	J2W 3G1	45.3029061	-73.2142328
103	Écocentre Sainte-Sophie	Saisonnier	2535  1re rue	Sainte-Sophie	Quebec	J5J 2R7	45.3225323	-73.2976268
104	Écocentre Prévost	Saisonnier	1144 rue Doucet	Prévost	Quebec	J5L 2S2	45.7854932	-73.9058792
105	Écocentre Saint-Colomban	Saisonnier	355 montée de l'Église	Saint-Colomban	Quebec	J5K 2J1	45.8666646	-74.0703279
106	Écocentre Saint-Hippolyte	Saisonnier	2056 ch. des hauteurs	Saint-Hippolyte	Quebec	J8A 1A1	45.741142	-74.139034
107	Écocentre Saint-Jérôme	Saisonnier	301 rue Lajeunesse Ouest	Saint-Jérôme	Quebec	J7Y 3P2	45.922856	-74.016438
108	Écocentre Secteur de Sainte-Scholastique	Résidents seulement	9825 rue Saint-Vincent	Mirabel	Quebec	J7N 2Y5	 None	 None
109	Régie intermunicipale du comté de Beauce-Sud		695 rang Saint-Joseph	Saint-Côme-Linière	Quebec	G0M 1J0	45.6490269	-74.095033
110	Écocentre de Beauceville (Matrec)		184 181e rue	Beauceville	Quebec	G5X 2S8	46.0937406	-70.562358
111	Écocentre de Shawinigan	ICI sur rendez-vous seulement	2132 av. de la Transmission	Shawinigan	Quebec	G9N 8N8	46.2264548	-70.7859174
112	Garage municipal de Saint-Jean-Port-Joli	Ouvert avril à novembre	389 rte de l'Église	Saint-Jean-Port-Joli	Quebec	GOR 3G0	 None	 None
113	Écocentre Val-Bélair		1472 rue Jean-Bardot	Québec	Quebec	G3J 1R3	47.2157036	-70.2697191
114	Écocentre Hûtrière		3381 rue de l'Hûtrière	Québec	Quebec	G3A 0M2	 None	 None
115	Écocentre Beauport		425 boul. Raymond	Québec	Quebec	G1C 5B4	 None	 None
116	Garage municipal de Les Bergeronnes		424 rue de la Mer	Les Bergeronnes	Quebec	G0T 1G0	46.8836789	-71.1819071
117	Garage municipal de Les Escoumins		2 rue Sirois	Les Escoumins	Quebec	G0T 1K0	48.2426146	-69.5454677
118	Bureau municipal Longue-Rive		3 rue de l?Église	Longue-Rive	Quebec	G0T 1Z0	 None	 None
119	Garage municipal de Portneuf-sur-Mer		170 rue Principale	Portneuf-sur-Mer	Quebec	G0T 1P0	48.566527	-69.2347459
120	Écocentre Secteur de Saint-Augustin	Résidents seulement	15020 rue Louis-M.-Taillon	Mirabel	Quebec	J7N 2K4	48.618166	-69.101062
121	Écocentre Secteur de Saint-Canut	Résidents seulement	6000 rte Sir-Wilfrid-Laurier	Mirabel	Quebec	J7N 2Z8	45.6365343	-73.9860347
122	Écocentre Secteur de Saint-Janvier	Résidents seulement	14645 rue Joseph-Marc-Vermette	Mirabel	Quebec	J7J 1X2	45.7058415	-74.0790805
123	Écocentre La Mitis		428 ch. Perreault Est	Sainte-Flavie	Quebec	G0J 2L0	45.715321	-73.938505
124	Écocentre Ville de Beaupré		10 rue Industrielle	Beaupré	Quebec	G0A 1E0	48.6094427	-68.1824121
125	Écocentre Saint-Édouard-de-Fabre		641 rte 391	Saint-Édouard-de-Fabre	Quebec	J0Z 1Z0	47.0409005	-70.8886699
126	Écocentre Waterloo		6550 rue Foster	Waterloo	Quebec	J0E 2N0	47.199652	-79.366541
127	Écocentre Havre-Saint-Pierre		895 rue Ilménite	Havre-Saint-Pierre	Quebec	G0G 1P0	45.3571113	-72.5131928
128	Écocentre de Natashquan		300 rte 138	Natashquan	Quebec	G0G 2E0	50.2518315	-63.6089485
129	Écocentre Alma		3521 av.du Pont Nord	Alma	Quebec	G8B 1S5	50.1544036	-61.6861515
130	Écocentre Hébertville		100rue Jean-Félix Langlais	Hébertville	Quebec	G0W 1T0	 None	 None
131	Écocentre Saint-Ludger-de-Milot		ch. de l?Écocentre	Saint-Ludger-de-Milot	Quebec	G0W 2B0	48.4380394	-71.6880994
132	Écocentre Saint-Félicien		1800 rue Verreault	Saint-Félicien	Quebec	G8K 1W2	 None	 None
133	Écocentre Saint-François-de-Sales		93 rue Bouchard	Saint-François-de-Sales	Quebec	G0W 2B0	48.6396218	-72.4528543
134	Écocentre Dolbeau-Mistassini		1001 2e Avenue	Dolbeau-Mistassini	Quebec	G8L 1V3	48.3294291	-72.1570537
